A_0,R_0,T_0,r
0.797747985,1.08358313,469.3921127,-0.024278383
1.597909617,0.718793314,401.1691336,0.023628142
1.117177486,0.506962894,408.0804779,0.019920994
0.959419611,1.254042501,481.0477793,-0.054627126
0.798467015,0.948988,405.3722203,0.008442265
1.086390027,1.691067755,406.0067302,0.008242378
0.931115491,1.770436731,427.9976463,-0.002311274
0.108993341,1.69766833,450.9067437,-0.083225722
0.711959519,1.895527841,435.8445568,-0.022547853
0.30570872,0.102021607,403.0513955,0.005024672
0.771803072,1.974427756,438.1869602,-0.025406907
1.268484684,0.858356723,450.350635,0.043859367
1.196090369,1.975466354,450.3366413,-0.019827047
1.157051204,0.150413274,424.9850568,0.038723173
1.551066905,1.683605827,481.9316488,-0.038947908
0.407995786,1.964367161,455.551671,-0.09236665
1.407141345,0.650315564,457.8092794,0.073475524
1.780836583,0.634016928,404.5500967,0.030236456
0.416026344,0.85411514,489.5874545,-0.100389572
0.387212556,0.000156072,453.8392189,0.029566873
0.867497095,0.936483571,441.3093759,0.013496036
0.101106426,0.306652834,412.8507012,-0.00094312
0.851451911,0.746397611,460.5503545,0.019651852
0.114625948,1.638777679,473.2372892,-0.179699432
0.866294601,0.200523222,425.2554764,0.02748735
0.195868628,1.260706279,414.9433976,-0.010539575
0.836435679,1.636443928,406.0354186,0.003529206
0.651270555,1.044384826,449.9072366,-0.008770599
0.654116669,0.012105401,468.7923473,0.0699359
0.775367169,0.773071988,422.9365929,0.012649194
0.26986621,1.567651914,415.2632534,-0.012604362
0.882222646,1.28144436,509.4550417,-0.244168866
0.938866277,0.523643153,477.1729746,0.05281676
0.906791632,0.025263685,460.5476794,0.079482993
0.782026214,0.527103543,428.3809984,0.019191728
1.084394392,1.971748022,509.1302117,-0.440625599
0.369563847,0.184618933,401.1376093,0.0053365
1.188805708,1.550822049,429.2080672,0.012406048
0.315708621,0.786907561,449.562165,-0.018407887
0.810474533,0.00190248,415.2688174,0.022077256
1.400517911,1.560516491,451.9924917,0.015182471
1.75357709,0.128229189,472.26458,0.191798043
0.974815889,1.603500505,435.4541691,-0.000814476
0.329063453,1.431886569,471.8375062,-0.122881922
0.240985177,0.820905264,460.4961225,-0.040731111
1.55758527,1.039570058,443.9929524,0.050111698
0.770614274,0.716273384,450.2301711,0.016426087
0.558938827,0.930079254,435.7418153,-0.000894486
1.292800625,1.038156323,494.3226461,0.002814672
1.565381431,1.565991256,482.2183153,-0.019228702
0.489754311,0.915416266,417.6269427,0.001381343
1.180129685,0.014117069,409.9993759,0.027397813
0.248502534,0.741063902,453.859414,-0.025289811
1.481539051,0.074259277,451.722319,0.103331402
0.238238681,0.543211023,501.835569,-0.106634623
0.331267608,1.633115313,495.1326652,-0.326610233
1.275658624,0.277096852,420.3319706,0.035861272
1.030756929,0.148643923,457.3965898,0.07572224
0.79627652,1.743618397,407.0250464,0.001620083
0.777379618,1.62062319,419.8820327,-0.000987023
0.497840733,0.605788101,488.9437294,-0.035096765
1.093965902,1.127618176,492.5487645,-0.049096042
1.804996001,1.101010864,426.1956719,0.044808556
1.256479915,0.534776564,478.5364648,0.094756947
1.459640306,1.826661764,437.4017302,0.015120876
0.631467715,0.037328867,417.7763058,0.017988982
1.934036677,0.924923731,444.7786485,0.07850264
1.334364753,1.440878677,422.3699007,0.019698206
0.55421668,0.522558852,490.1645071,-0.01074599
0.2705232,1.785738241,500.0814544,-0.438804393
1.065899485,1.700079862,469.2212885,-0.058005716
0.554434939,0.866768075,511.0667007,-0.186717434
1.833989102,0.162756393,405.4763384,0.03598582
1.025119168,1.116664413,417.2190661,0.014099737
0.922233352,0.13079746,463.2934888,0.077364633
0.903371231,0.271613535,428.3377329,0.029632017
0.666906856,0.753601573,452.2021373,0.006568794
1.353019763,0.582028983,468.21893,0.087357793
1.470108095,1.427854019,455.5603232,0.026310417
1.063149217,0.618867923,458.8352069,0.047339034
