Qc,FH,QcFH
0,0,0
40.71796772,1.11814603,45.52863394
48.03226648,1.137527735,54.63803529
131.9089022,1.419735696,187.275777
48.03226648,1.137527735,54.63803529
17.04839968,1.059715872,18.06645973
37.33639152,1.109406917,41.42125101
131.9089022,1.419735696,187.275777
19.66728168,1.065878584,20.96293435
19.66728168,1.065878584,20.96293435
158.9897948,1.543357716,245.3781266
34.10533617,1.101183474,37.55623255
17.04839968,1.059715872,18.06645973
167.9655069,1.58922246,266.9345561
153.8178045,1.518112047,233.5126621
28.02439388,1.086032789,30.43541064
153.8178045,1.518112047,233.5126621
131.9089022,1.419735696,187.275777
44.27329312,1.127483882,49.91742439
17.04839968,1.059715872,18.06645973
12.0204103,1.048081641,12.59837135
44.27329312,1.127483882,49.91742439
28.02439388,1.086032789,30.43541064
12.0204103,1.048081641,12.59837135
25.14718627,1.079008574,27.13402959
28.02439388,1.086032789,30.43541064
158.9897948,1.543357716,245.3781266
19.66728168,1.065878584,20.96293435
131.9089022,1.419735696,187.275777
40.71796772,1.11814603,45.52863394
153.8178045,1.518112047,233.5126621
19.66728168,1.065878584,20.96293435
22.36439081,1.072300751,23.98135307
140.9838667,1.458895025,205.6806617
147.9473318,1.490439445,220.5065392
131.9089022,1.419735696,187.275777
48.03226648,1.137527735,54.63803529
34.10533617,1.101183474,37.55623255
22.36439081,1.072300751,23.98135307
14.50130892,1.053790075,15.28133542
147.9473318,1.490439445,220.5065392
31.00632938,1.093409842,33.90262571
14.50130892,1.053790075,15.28133542
37.33639152,1.109406917,41.42125101
158.9897948,1.543357716,245.3781266
12.0204103,1.048081641,12.59837135
34.10533617,1.101183474,37.55623255
147.9473318,1.490439445,220.5065392
40.71796772,1.11814603,45.52863394
158.9897948,1.543357716,245.3781266
14.50130892,1.053790075,15.28133542
14.50130892,1.053790075,15.28133542
37.33639152,1.109406917,41.42125101
14.50130892,1.053790075,15.28133542
17.04839968,1.059715872,18.06645973
25.14718627,1.079008574,27.13402959
31.00632938,1.093409842,33.90262571
14.50130892,1.053790075,15.28133542
140.9838667,1.458895025,205.6806617
167.9655069,1.58922246,266.9345561
140.9838667,1.458895025,205.6806617
48.03226648,1.137527735,54.63803529
22.36439081,1.072300751,23.98135307
153.8178045,1.518112047,233.5126621
158.9897948,1.543357716,245.3781266
147.9473318,1.490439445,220.5065392
140.9838667,1.458895025,205.6806617
19.66728168,1.065878584,20.96293435
28.02439388,1.086032789,30.43541064
48.03226648,1.137527735,54.63803529
22.36439081,1.072300751,23.98135307
22.36439081,1.072300751,23.98135307
22.36439081,1.072300751,23.98135307
140.9838667,1.458895025,205.6806617
147.9473318,1.490439445,220.5065392
158.9897948,1.543357716,245.3781266
158.9897948,1.543357716,245.3781266
31.00632938,1.093409842,33.90262571
14.50130892,1.053790075,15.28133542
44.27329312,1.127483882,49.91742439
140.9838667,1.458895025,205.6806617
147.9473318,1.490439445,220.5065392
167.9655069,1.58922246,266.9345561
25.14718627,1.079008574,27.13402959
37.33639152,1.109406917,41.42125101
22.36439081,1.072300751,23.98135307
31.00632938,1.093409842,33.90262571
131.9089022,1.419735696,187.275777
48.03226648,1.137527735,54.63803529
12.0204103,1.048081641,12.59837135
17.04839968,1.059715872,18.06645973
163.6656314,1.566915271,256.4501771
12.0204103,1.048081641,12.59837135
117.875,1.3625,160.6046875
147.9473318,1.490439445,220.5065392
44.27329312,1.127483882,49.91742439
19.66728168,1.065878584,20.96293435
28.02439388,1.086032789,30.43541064
22.36439081,1.072300751,23.98135307
163.6656314,1.566915271,256.4501771
167.9655069,1.58922246,266.9345561
158.9897948,1.543357716,245.3781266
44.27329312,1.127483882,49.91742439
167.9655069,1.58922246,266.9345561
